"Map1","Map2","Choice","MapVote","Date","FullPartial","Result","Eliminations","Deaths","Score","Damage","TotalXP","PrimaryWeapon","XPType","DidPlayerVote","GameType","Confirms","Denies","Objectives","ObjectiveKills","Captures","Diffuses","Plants","Time_Sec","Time_Min"
"Satellite","The Pines","Satellite","3 to 3",2021-06-20,"Full","119-250",17,27,2125,2432,13903,"LC-10","Double XP + 10%","No","Hardpoint",NA,NA,NA,11,NA,NA,NA,32,1
"Express","Crossroads Strike","Express","1 to 1",2021-06-20,"Full","171-250",22,26,2935,3770,16671,"LC-10","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,5,2
"Standoff","Apocalypse","Apocolypse","3 to 2",2021-06-20,"Full","250-176",24,26,3355,3343,24348,"LC-10","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,21,3
"Moscow","Standoff","Moscow","2 to 1",2021-06-20,"Full","212-250",29,24,4155,3951,25008,"LC-10","Double XP + 10%","No","Hardpoint",NA,NA,NA,18,NA,NA,NA,21,2
"Armada Strike","Nuketown '84","Armada Strike","1 to 1",2021-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Hardpoint",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Satellite",NA,2021-06-20,"Full","64-250",10,23,1845,1386,15727,"LC-10","Double XP + 10%","No","Hardpoint",NA,NA,NA,7,NA,NA,NA,47,0
"Hijacked","Nuketown '84","Nuketown '84","7 to 1",2021-06-20,"Full","250-215",31,34,3675,3301,22832,"LC-10","Double XP + 10%","No","Hardpoint",NA,NA,NA,21,NA,NA,NA,21,2
"Hijacked","Checkmate","Hijacked","2 to 2",2021-06-20,"Full","95-100",10,18,1710,1668,13337,"LC-10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Yamantau","Garrison","3 to 0",2021-06-20,"Full","88-85",15,12,2375,2000,23047,"LC-10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Moscow","Moscow","3 to 0",2021-06-20,"Full","100-85",12,15,1300,1842,15836,"LC-10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Standoff","Express","5 to 2",2021-06-20,"Full","100-99",28,17,6445,4072,28694,"LC-10","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Yamantau","Checkmate","1 to 1",2021-06-20,"Full","87-100",17,19,2485,2478,16062,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Armada Strike","Satellite","3 to 2",2021-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Raid",NA,2021-06-21,"Partial","84-100",8,10,1270,1148,7486,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Satellite","Crossroads Strike","1 to 0",2021-06-21,"Full","100-75",26,13,3725,3028,16830,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","The Pines","The Pines","3 to 0",2021-06-21,"Full","98-95",22,12,3600,3105,19760,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Miami Strike","Express","3 to 1",2021-06-21,"Full","79-100",20,13,2540,2956,20266,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hijacked","Armada Strike","Hijacked","3 to 2",2021-06-21,"Full","85-100",14,12,2775,2071,15837,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Nuketown '84","Nuketown '84","1 to 0",2021-06-21,"Full","55-100",16,15,2455,2670,14363,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Moscow","Moscow","3 to 0",2021-06-21,"Full",NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Collateral",NA,2021-07-03,"Full","50-100",7,16,1210,1220,8512,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Yamantau","Checkmate","3 to 1",2021-07-03,"Full","81-91",12,20,800,1574,13239,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Express",NA,2021-07-03,"Full","100-63",16,9,1965,2085,16763,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Satellite","Raid","2 to 0",2021-07-03,"Full","63-100",14,15,2180,2213,16464,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Cartel","Apocalypse","0 to 0",2021-07-03,"Full","100-94",23,20,3185,3496,20767,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Armada Strike","Armada Strike","3 to 0",2021-07-03,"Full","70-100",14,17,1850,1903,16801,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Nuketown '84","Nuketown '84","3 to 2",2021-07-03,"Full","100-96",17,12,3330,2183,18218,"M60","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Moscow","Moscow","4 to 1",2021-07-03,"Full","53-100",15,25,3945,2617,20669,"ShadowHunter","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Cartel","Standoff","1 to 0",2021-07-03,"Full","91-100",20,16,3380,2856,19879,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Express","Express","6 to 0",2021-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Collateral","Collateral","3 to 2",2021-07-03,"Full","89-100",8,15,800,1415,10081,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Raid","Crossroads Strike","0 to 0",2021-07-03,"Full","79-100",15,17,2865,2171,11137,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collateral","Miami Strike","Miami Strike","3 to 2",2021-07-03,"Full","61-100",10,23,1420,1425,17185,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Garrison","The Pines","4 to 1",2021-07-03,"Full","72-74",14,13,2950,2507,17527,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Miami","Satellite","3 to 3",2021-07-03,"Full","100-60",22,10,3675,2999,17063,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hijacked","Diesel","Hijacked","1 to 0",2021-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Miami Strike",NA,2021-07-03,"Full","86-100",12,11,2370,1805,9717,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Express","Express","2 to 1",2021-07-03,"Full","69-100",14,17,2340,2098,17885,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Armada Strike","Moscow","2 to 2",2021-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Hijacked",NA,2021-07-04,"Full","95-74",23,13,4390,3543,12882,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Diesel","Diesel","3 to 0",2021-07-04,"Full","100-65",31,13,5455,4304,24612,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Collateral","Collateral","2 to 0",2021-07-04,"Full","80-100",12,12,1610,1594,17706,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Armada Strike","Armada Strike","2 to 1",2021-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Diesel",NA,2021-07-04,"Partial","65-100",12,9,1710,1630,12379,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Armada Strike","Checkmate","1 to 1",2021-07-04,"Full","90-100",19,17,3160,3280,18200,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Raid","Garrison","1 to 0",2021-07-04,"Full","100-78",21,12,3980,2925,20807,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Garrison","The Pines","3 to 1",2021-07-04,"Full","100-79",17,9,3310,2522,20659,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","yamantau","Yamantau","3 to 2",2021-07-04,"Full","64-100",11,22,1660,1321,12177,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Garrison","Yamantau","4 to 0",2021-07-05,"Full","100-51",11,10,2040,1452,16988,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Miami","Crossroads Strike","1 to 0",2021-07-05,"Full","100-86",23,19,3895,3310,23048,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Standoff","Diesel","3 to 0",2021-07-05,"Full","100-90",12,15,1730,1868,16229,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collateral","Moscow","Collateral","2 to 1",2021-07-05,"Full","85-100",20,15,4395,2971,17638,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Satellite","Satellite","2 to 1",2021-07-05,"Full","99-96",24,15,4615,3499,29587,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Riad","Checkmate","Checkmate","3 to 0",2021-07-05,"Full","83-70",15,13,2860,2160,24640,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Cartel","Miami Strike","2 to 1",2021-07-05,"Full","100-78",16,16,2780,2260,14705,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Apocalypse","Express","2 to 2",2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Armada Strike",NA,2021-07-05,"Partial","62-100",7,6,1330,1123,10097,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Miami","Apocalypse","3 to 1",2021-07-05,"Full","100-99",15,17,2475,2446,17338,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Apocalypse","Apocalypse","4 to 1",2021-07-05,"Full","84-100",23,15,3025,3301,20568,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hijacked","Standoff","Standoff","3 to 2",2021-07-05,"Full","91-100",15,12,1750,1976,17383,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Miami","Yamantau","4 to 0",2021-07-05,"Full","100-98",29,14,6225,3970,26227,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Moscow","Moscow","4 to 1",2021-07-05,"Full","100-76",10,19,750,1271,19530,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Garrison","Diesel","2 to 2",2021-07-05,"Full","100-93",24,20,3595,3468,21687,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Hijacked","Hijacked","3 to 1",2021-07-05,"Full","97-100",10,22,1100,2000,15289,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Nuketown '84","Express","3 to 2",2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Garrison",NA,2021-07-05,"Partial","67-99",7,2,2590,1010,9836,"Milano","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Miami Strike","Miami Strike","2 to 1",2021-07-05,"Full","100-89",14,18,2145,2289,12606,"Milano","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Collateral","Yamantau","2 to 0",2021-07-05,"Full","100-82",21,14,2965,3136,17532,"Milano","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Nuketown '84","Nuketown '84","3 to 0",2021-07-05,"Full","100-71",25,15,3485,4169,13461,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","The Pines","Checkmate","1 to 0",2021-07-05,"Full","83-100",17,19,2885,2873,15595,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Hijacked","Hijacked","6 to 0",2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Armada Strike",NA,2021-07-05,"Partial","92-100",12,19,2740,1760,9167,"MP5","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Apocalypse","APocalypse","2 to 0",2021-07-05,"Full","73-100",17,23,2635,3113,15254,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Garrison","Satellite","2 to 0",2021-07-05,"Full","78-100",17,14,2110,3152,13121,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Crossroads Strike","Raid","3 to 0",2021-07-05,"Full","100-90",26,10,3015,3201,20407,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Moscow","Standoff","0 to 0",2021-07-05,"Full","100-90",13,16,1110,1852,17454,"M60","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Miami","Diesel","2 to 1",2021-07-05,"Full","92-100",19,18,3370,2939,21973,"MP5","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Armada Strike","Crossroads Strike","5 to 0",2021-07-05,"Full","100-66",14,7,3080,1910,19280,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Garrison","Apocolypse","1 to 1",2021-07-05,"Full","100-81",24,10,4290,3680,21559,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hijacked","Yamantau","Hijacked","3 to 1",2021-07-05,"Full","100-83",13,17,2500,2643,16523,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Apocalypse","Raid","5 to 0",2021-07-05,"Full","98-100",27,19,4330,3695,20267,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Cartel","Checkmate","3 to 1",2021-07-05,"Full","75-100",16,16,1780,2115,15092,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Yamantau","Moscow","2 to 1",2021-07-05,"Full","100-86",19,12,2545,2659,19606,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Diesel",NA,2021-07-05,"Full","100-67",15,18,2085,2351,16834,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Hijacked","Cartel","2 to 1",2021-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Diesel","Diesel","2 to 0",2021-07-16,"Full","100-77",15,11,2670,1856,18774,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Miami","The Pines","1 to 0",2021-07-16,"Full","75-100",21,15,3665,3236,25611,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Express","Express","5 to 0",2021-07-16,"Full","100-65",20,13,4425,3270,21547,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Raid","Raid","3 to 1",2021-07-16,"Full","87-100",13,19,2035,1726,19669,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Apocalypse","Nuketown '84","4 to 1",2021-07-16,"Full","100-79",14,16,1460,1789,11369,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Garrison","Garrison","3 to 2",2021-07-16,"Full","88-84",14,17,2425,2490,17398,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Hijacked","Hijacked","2 to 0",2021-07-16,"Full","95-100",13,15,2480,2247,22686,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Miami","Yamantau","3 to 2",2021-07-16,"Full","85-100",18,21,2830,2529,19426,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Checkmate","The Pines","1 to 1",2021-07-16,"Full","78-90",25,13,5385,3665,22259,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Nuketown '84","Nuketown '84","2 to 1",2021-07-16,"Full","84-100",21,9,4470,3165,16281,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Moscow","Raid","2 to 0",2021-07-16,"Full","100-82",25,12,4515,3739,26030,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Cartel","Miami","1 to 1",2021-07-16,"Full","78-70",16,10,3735,3270,21876,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Crossroads Strike","Crossroads Strike","2 to 1",2021-07-16,"Full","92-100",27,16,3520,3321,17591,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Satellite","Satellite","3 to 0",2021-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Crossroads Strike",NA,2021-07-16,"Partial","65-52",7,8,975,870,7773,"Pellington","Double XP + 10%","No","Kill Confirmed",2,3,5,NA,NA,NA,NA,NA,NA
NA,NA,"Diesel",NA,2021-07-16,"Full","58-65",21,14,3070,2555,19237,"Pellington","Double XP + 10%","No","Kill Confirmed",6,4,10,NA,NA,NA,NA,NA,NA
"Collateral Strike","Miami Strike","Collateral Strike","5 to 2",2021-07-16,"Full","37-65",6,17,570,986,7801,"Pellington","Double XP + 10%","No","Kill Confirmed",2,7,9,NA,NA,NA,NA,NA,NA
"Yamantau","The Pines","The Pines","3 to 1",2021-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Kill Confirmed",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"The Pines",NA,2021-07-16,"Full","3 to 1",14,15,2305,2017,24385,"Pellington","Double XP + 10%","No","Control",NA,NA,7,6,1,NA,NA,NA,NA
NA,NA,"The Pines",NA,2021-07-16,"Full","2 to 3",19,28,2805,2568,21538,"MP5","Double XP + 10%","No","Control",NA,NA,15,14,1,NA,NA,NA,NA
"Express","Checkmate","Checkmate","1 to 0",2021-07-16,"Full","3 to 2",30,27,4865,4096,37859,"MP5","Double XP + 10%","No","Control",NA,NA,24,22,2,NA,NA,NA,NA
"Yamantau","Apocalypse","Yamantau","2 to 0",2021-07-16,"Full","3 to 2",27,20,5395,4024,33824,"MP5","Double XP + 10%","No","Control",NA,NA,18,15,3,NA,NA,NA,NA
NA,NA,"Miami",NA,2021-07-16,"Full","3 to 1",10,20,1110,1811,22977,"MP5","Double XP + 10%","No","Control",NA,NA,7,7,0,NA,NA,NA,NA
"Yamantau","Diesel","Yamantau","1 to 1",2021-07-16,"Full","3 to 0",9,7,2075,940,15939,"Pellington","Double XP + 10%","No","Control",NA,NA,6,4,2,NA,NA,NA,NA
NA,NA,"Garrison",NA,2021-07-16,"Full","3 to 0",7,7,2690,1423,12956,"Pellington","Double XP + 10%","No","Control",NA,NA,9,5,4,NA,NA,NA,NA
"Diesel","Apocalypse","Diesel","4 to 1",2021-07-16,"Full","3 to 0",12,6,2150,1511,16603,"Pellington","Double XP + 10%","No","Control",NA,NA,8,6,2,NA,NA,NA,NA
"Garrison","Miami Strike","Garrison","3 to 3",2021-07-16,"Full","3 to 0",5,9,2345,466,11258,"Pellington","Double XP + 10%","No","Control",NA,NA,7,3,4,NA,NA,NA,NA
NA,NA,"Standoff",NA,2021-07-17,"Partial","100-86",3,4,300,450,8161,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Raid","Raid","3 to 0",2021-07-17,"Full","91-100",11,13,2110,1514,14386,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Hijacked","Hijacked","3 to 0",2021-07-17,"Full","100-96",23,13,3765,3308,21667,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Moscow","Moscow","3 to 0",2021-07-17,"Full","67-100",14,14,3245,2210,15558,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Express","Apocalypse","1 to 0",2021-07-17,"Full","74-100",20,15,4950,3430,21450,"Pellington","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","The Pines","The Pines","3 to 1",2021-07-17,"Full","85-73",24,6,6645,3841,33739,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Nuketown '84","Nuketown '84","3 to 0",2021-07-17,"Full","100-57",17,4,4730,2170,12702,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Cartel","Standoff","3 to 0",2021-07-17,"Full","100-86",21,10,4715,3328,29941,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Raid","Checkmate","1 to 1",2021-07-17,"Full","80-97",25,15,5860,4098,20948,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Diesel","Diesel","3 to 2",2021-07-17,"Full","100-50",9,8,750,1273,13441,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Miami","Armada Strike","5 to 0",2021-07-17,"Full","98-93",25,12,4220,3754,21322,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Armada Strike","Yamantau","1 to 1",2021-07-17,"Full","98-100",12,15,1690,1589,12410,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Satellite","Standoff","4 to 0",2021-07-17,"Full","74-100",8,13,1390,1111,10686,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Apocalypse","Cartel","2 to 2",2021-07-18,"Full","71-68",9,11,1165,1130,15189,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Miami Strike","Miami Strike","2 to 0",2021-07-18,"Full","84-100",13,14,1990,2050,11502,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Garrison","Express","3 to 1",2021-07-18,"Full","100-84",21,13,4025,2740,20368,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collateral Striek","Apocalypse","Apocolypse","1 to 0",2021-07-18,"Full","100-94",14,15,2380,2269,21444,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collateral Strike","Nuketown '84","Nuketown '84","3 to 0",2021-07-18,"Full","93-100",21,15,4035,2989,16222,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Checkmate","Checkmate","2 to 0",2021-07-18,"Full","90-74",15,17,1710,2154,25000,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Raid","Crossroads Strike","2 to 0",2021-07-18,"Full","100-86",24,17,4515,3442,17447,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Collateral Strike","Standoff","1 to 1",2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Collateral Strike","Moscow","1 to 1",2021-07-18,"Full","96-87",30,17,5405,4084,31932,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Miami Strike","Yamantau","1 to 1",2021-07-18,"Full","97-100",18,21,2410,3136,19581,"KSP 45","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Express","Express","2 to 0",2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Miami Strike","Diesel","4 to 1",2021-07-18,"Full","100-82",33,12,5140,4245,21560,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Satellite","Satellite","2 to 1",2021-07-18,"Full","95-98",24,17,3305,3875,17695,"DMR 14","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Apocalypse","Nuketown '84","3 to 0",2021-07-18,"Full","70-100",14,16,1725,1721,11215,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Hijacked","Express","5 to 1",2021-08-07,"Full","100-88",14,16,1620,2359,9949,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Rush",NA,2021-08-07,"Full","100-85",22,9,4895,2897,24893,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Stirke","Collateral Strike","Collateral Strike","5 to 1",2021-08-07,"Full","100-74",10,8,1685,1290,13174,"FARA-83","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
